District,Value,Metric,Year
BUIKWE,85.0,Gross Enrollment Ratio,2014
BUKOMANSIMBI,131.0,Gross Enrollment Ratio,2014
BUTAMBALA,125.0,Gross Enrollment Ratio,2014
BUVUMA,198.0,Gross Enrollment Ratio,2014
GOMBA,111.0,Gross Enrollment Ratio,2014
KALANGALA,78.0,Gross Enrollment Ratio,2014
KALUNGU,168.0,Gross Enrollment Ratio,2014
KAMPALA,82.0,Gross Enrollment Ratio,2014
KAYUNGA,120.0,Gross Enrollment Ratio,2014
KIBOGA,90.0,Gross Enrollment Ratio,2014
KYOTERA,,Gross Enrollment Ratio,2014
LWENGO,137.0,Gross Enrollment Ratio,2014
LYANTONDE,149.0,Gross Enrollment Ratio,2014
MASAKA,127.0,Gross Enrollment Ratio,2014
MITYANA,98.0,Gross Enrollment Ratio,2014
MPIGI,115.0,Gross Enrollment Ratio,2014
MUBENDE,88.0,Gross Enrollment Ratio,2014
MUKONO,109.0,Gross Enrollment Ratio,2014
NAKASEKE,138.0,Gross Enrollment Ratio,2014
NAKASONGOLA,131.0,Gross Enrollment Ratio,2014
RAKAI,117.0,Gross Enrollment Ratio,2014
SSEMBABULE,161.0,Gross Enrollment Ratio,2014
WAKISO,89.0,Gross Enrollment Ratio,2014
BUDAKA,180.0,Gross Enrollment Ratio,2014
BUDUDA,133.0,Gross Enrollment Ratio,2014
BUGIRI,112.0,Gross Enrollment Ratio,2014
BUKEDEA,165.0,Gross Enrollment Ratio,2014
BUKWO,228.0,Gross Enrollment Ratio,2014
BULAMBULI,172.0,Gross Enrollment Ratio,2014
BUSIA,163.0,Gross Enrollment Ratio,2014
BUTALEJA,190.0,Gross Enrollment Ratio,2014
BUYENDE,139.0,Gross Enrollment Ratio,2014
IGANGA,124.0,Gross Enrollment Ratio,2014
JINJA,91.0,Gross Enrollment Ratio,2014
KABERAMAIDO,162.0,Gross Enrollment Ratio,2014
KALIRO,132.0,Gross Enrollment Ratio,2014
KAMULI,107.0,Gross Enrollment Ratio,2014
KAPCHORWA,123.0,Gross Enrollment Ratio,2014
KATAKWI,134.0,Gross Enrollment Ratio,2014
KIBUKU,156.0,Gross Enrollment Ratio,2014
KUMI,134.0,Gross Enrollment Ratio,2014
KWEEN,122.0,Gross Enrollment Ratio,2014
LUUKA,131.0,Gross Enrollment Ratio,2014
MANAFWA,148.0,Gross Enrollment Ratio,2014
MAYUGE,126.0,Gross Enrollment Ratio,2014
MBALE,140.0,Gross Enrollment Ratio,2014
NAMAYINGO,108.0,Gross Enrollment Ratio,2014
NAMISINDWA,,Gross Enrollment Ratio,2014
NAMUTUMBA,174.0,Gross Enrollment Ratio,2014
NGORA,132.0,Gross Enrollment Ratio,2014
PALLISA,148.0,Gross Enrollment Ratio,2014
SERERE,146.0,Gross Enrollment Ratio,2014
SIRONKO,143.0,Gross Enrollment Ratio,2014
SOROTI,123.0,Gross Enrollment Ratio,2014
TORORO,164.0,Gross Enrollment Ratio,2014
ABIM,219.0,Gross Enrollment Ratio,2014
ADJUMANI,53.0,Gross Enrollment Ratio,2014
AGAGO,132.0,Gross Enrollment Ratio,2014
ALEBTONG,150.0,Gross Enrollment Ratio,2014
AMOLATAR,164.0,Gross Enrollment Ratio,2014
AMUDAT,21.0,Gross Enrollment Ratio,2014
AMURIA,86.0,Gross Enrollment Ratio,2014
AMURU,130.0,Gross Enrollment Ratio,2014
APAC,150.0,Gross Enrollment Ratio,2014
ARUA,160.0,Gross Enrollment Ratio,2014
DOKOLO,125.0,Gross Enrollment Ratio,2014
GULU,146.0,Gross Enrollment Ratio,2014
KAABONG,49.0,Gross Enrollment Ratio,2014
KITGUM,112.0,Gross Enrollment Ratio,2014
KOBOKO,114.0,Gross Enrollment Ratio,2014
KOLE,128.0,Gross Enrollment Ratio,2014
KOTIDO,38.0,Gross Enrollment Ratio,2014
LAMWO,130.0,Gross Enrollment Ratio,2014
LIRA,142.0,Gross Enrollment Ratio,2014
MARACHA,184.0,Gross Enrollment Ratio,2014
MOROTO,39.0,Gross Enrollment Ratio,2014
MOYO,37.0,Gross Enrollment Ratio,2014
NAKAPIRIPIRIT,41.0,Gross Enrollment Ratio,2014
NAPAK,46.0,Gross Enrollment Ratio,2014
NEBBI,157.0,Gross Enrollment Ratio,2014
NWOYA,366.0,Gross Enrollment Ratio,2014
OMORO,,Gross Enrollment Ratio,2014
OTUKE,163.0,Gross Enrollment Ratio,2014
OYAM,149.0,Gross Enrollment Ratio,2014
PADER,148.0,Gross Enrollment Ratio,2014
PAKWACH,,Gross Enrollment Ratio,2014
YUMBE,60.0,Gross Enrollment Ratio,2014
ZOMBO,142.0,Gross Enrollment Ratio,2014
BUHWEJU,115.0,Gross Enrollment Ratio,2014
BULIISA,137.0,Gross Enrollment Ratio,2014
BUNDIBUGYO,86.0,Gross Enrollment Ratio,2014
BUNYANGABU,,Gross Enrollment Ratio,2014
BUSHENYI,115.0,Gross Enrollment Ratio,2014
BUTEBO,,Gross Enrollment Ratio,2014
HOIMA,90.0,Gross Enrollment Ratio,2014
IBANDA,125.0,Gross Enrollment Ratio,2014
ISINGIRO,107.0,Gross Enrollment Ratio,2014
KABALE,137.0,Gross Enrollment Ratio,2014
KABAROLE,110.0,Gross Enrollment Ratio,2014
KAGADI,,Gross Enrollment Ratio,2014
KAKUMIRO,,Gross Enrollment Ratio,2014
KAMWENGE,123.0,Gross Enrollment Ratio,2014
KANUNGU,125.0,Gross Enrollment Ratio,2014
KASESE,114.0,Gross Enrollment Ratio,2014
KIBAALE,124.0,Gross Enrollment Ratio,2014
KIRUHURA,105.0,Gross Enrollment Ratio,2014
KIRYANDONGO,97.0,Gross Enrollment Ratio,2014
KISORO,133.0,Gross Enrollment Ratio,2014
KYANKWANZI,114.0,Gross Enrollment Ratio,2014
KYEGEGWA,157.0,Gross Enrollment Ratio,2014
KYENJOJO,99.0,Gross Enrollment Ratio,2014
MASINDI,88.0,Gross Enrollment Ratio,2014
MBARARA,121.0,Gross Enrollment Ratio,2014
MITOOMA,114.0,Gross Enrollment Ratio,2014
NTOROKO,82.0,Gross Enrollment Ratio,2014
NTUNGAMO,88.0,Gross Enrollment Ratio,2014
RUBANDA,,Gross Enrollment Ratio,2014
RUBIRIZI,101.0,Gross Enrollment Ratio,2014
RUKIGA,,Gross Enrollment Ratio,2014
RUKUNGIRI,104.0,Gross Enrollment Ratio,2014
SHEEMA,104.0,Gross Enrollment Ratio,2014
BUIKWE,45.0,Pupil Teacher Ratio,2014
BUKOMANSIMBI,66.0,Pupil Teacher Ratio,2014
BUTAMBALA,38.0,Pupil Teacher Ratio,2014
BUVUMA,77.0,Pupil Teacher Ratio,2014
GOMBA,51.0,Pupil Teacher Ratio,2014
KALANGALA,29.0,Pupil Teacher Ratio,2014
KALUNGU,68.0,Pupil Teacher Ratio,2014
KAMPALA,41.0,Pupil Teacher Ratio,2014
KAYUNGA,53.0,Pupil Teacher Ratio,2014
KIBOGA,35.0,Pupil Teacher Ratio,2014
KYOTERA,,Pupil Teacher Ratio,2014
LWENGO,62.0,Pupil Teacher Ratio,2014
LYANTONDE,43.0,Pupil Teacher Ratio,2014
MASAKA,39.0,Pupil Teacher Ratio,2014
MITYANA,39.0,Pupil Teacher Ratio,2014
MPIGI,46.0,Pupil Teacher Ratio,2014
MUBENDE,54.0,Pupil Teacher Ratio,2014
MUKONO,51.0,Pupil Teacher Ratio,2014
NAKASEKE,46.0,Pupil Teacher Ratio,2014
NAKASONGOLA,36.0,Pupil Teacher Ratio,2014
RAKAI,59.0,Pupil Teacher Ratio,2014
SSEMBABULE,64.0,Pupil Teacher Ratio,2014
WAKISO,39.0,Pupil Teacher Ratio,2014
BUDAKA,83.0,Pupil Teacher Ratio,2014
